FIPS,Center_X,Center_Y
Prince_William__VA,0.0,0.0
Manassas_Park__VA,0.0,0.0
Southern_Unorganized__AK,3.5382146601941744,8.208803689320389
North_Slope__AK,0.0,0.0
Northwest_Arctic__AK,0.0,0.0
Ketchikan_Gateway__AK,0.0,0.0
Wrangell_AK,0.0,0.0
Sitka__AK,0.0,0.0
Haines__AK,0.0,0.0
Juneau__AK,0.0,0.0
Yakutat__AK,0.0,0.0
Aleutians_West__AK,0.0,0.0
Aleutians_East__AK,0.0,0.0
Kodiak_Island__AK,0.0,0.0
Bristol_Bay__AK,0.0,0.0
Dillingham__AK,0.0,0.0
Lake_and_Peninsula__AK,0.0,0.0
Kenai_Peninsula__AK,0.0,0.0
Anchorage__AK,0.0,0.0
Valdez-Cordova__AK,0.0,0.0
Matanuska-Susitna__AK,0.0,0.0
SE_Fairbanks__AK,0.0,0.0
Fairbanks_North_Stark__AK,0.0,0.0
Denali__AK,0.0,0.0
Bethel__AK,0.0,0.0
Wade_Hampton__AK,0.0,0.0
Nome__AK,0.0,0.0
Yukon-Koyukuk__AK,0.0,0.0
Houston__AL,0.0,0.0
Henry__AL,0.0,0.0
Geneva__AL,0.0,0.0
Dale__AL,0.0,0.0
Coffee__AL,0.0,0.0
Covington__AL,0.0,0.0
Mobile__AL,0.0,0.0
Baldwin__AL,0.0,0.0
Escambia__AL,0.0,0.0
Conecuh__AL,0.0,0.0
Washington__AL,0.0,0.0
Choctaw__AL,0.0,0.0
Clarke__AL,0.0,0.0
Monroe__AL,0.0,0.0
Wilcox__AL,0.0,0.0
Butler__AL,0.0,0.0
Crenshaw__AL,0.0,0.0
Pike__AL,0.0,0.0
Bullock__AL,0.0,0.0
Macon__AL,0.0,0.0
Lowndes__AL,0.0,0.0
Montgomery__AL,0.0,0.0
Elmore__AL,0.0,0.0
Autauga__AL,0.0,0.0
Dallas__AL,0.0,0.0
Marengo__AL,0.0,0.0
Sumter__AL,0.0,0.0
Perry__AL,0.0,0.0
Chilton__AL,0.0,0.0
Coosa__AL,0.0,0.0
Tallapoosa__AL,0.0,0.0
Clay__AL,0.0,0.0
Talladega__AL,0.0,0.0
Shelby__AL,0.0,0.0
Bibb__AL,0.0,0.0
Hale__AL,0.0,0.0
Greene__AL,0.0,0.0
Pickens__AL,0.0,0.0
Tuscaloosa__AL,0.0,0.0
Jefferson__AL,0.0,0.0
Walker__AL,0.0,0.0
Lamar__AL,0.0,0.0
Fayette__AL,0.0,0.0
Franklin__AL,0.0,0.0
Marion__AL,0.0,0.0
Winston__AL,0.0,0.0
Cullman__AL,0.0,0.0
Blount__AL,0.0,0.0
St._Clair__AL,0.0,0.0
Calhoun__AL,0.0,0.0
Etowah__AL,0.0,0.0
Marshall__AL,0.0,0.0
Morgan__AL,0.0,0.0
Lawrence__AL,0.0,0.0
Colbert__AL,0.0,0.0
Lauderdale__AL,0.0,0.0
Limestone__AL,0.0,0.0
Madison__AL,0.0,0.0
Jackson__AL,0.0,0.0
DeKalb__AL,0.0,0.0
Cherokee__AL,0.0,0.0
Cleburne__AL,0.0,0.0
Randolph__AL,0.0,0.0
Chambers__AL,0.0,0.0
Lee__AL,0.0,0.0
Russell__AL,0.0,0.0
Barbour__AL,0.0,0.0
Chicot__AR,0.0,0.0
Ashley__AR,0.0,0.0
Pope__AR,0.0,0.0
Newton__AR,0.0,0.0
Madison__AR,0.0,0.0
Franklin__AR,0.0,0.0
Johnson__AR,0.0,0.0
Logan__AR,0.0,0.0
Yell__AR,0.0,0.0
Perry__AR,0.0,0.0
Conway__AR,0.0,0.0
Faulkner__AR,0.0,0.0
Van_Buren__AR,0.0,0.0
Searcy__AR,0.0,0.0
Stone__AR,0.0,0.0
Cleburne__AR,0.0,0.0
White__AR,0.0,0.0
Independence__AR,0.0,0.0
Jackson__AR,0.0,0.0
Woodruff__AR,0.0,0.0
St._Francis__AR,0.0,0.0
Crittenden__AR,0.0,0.0
Cross__AR,0.0,0.0
Poinsett__AR,0.0,0.0
Mississippi__AR,0.0,0.0
Craighead__AR,0.0,0.0
Izard__AR,0.0,0.0
Lawrence__AR,0.0,0.0
Sharp__AR,0.0,0.0
Greene__AR,0.0,0.0
Clay__AR,0.0,0.0
Randolph__AR,0.0,0.0
Fulton__AR,0.0,0.0
Baxter__AR,0.0,0.0
Marion__AR,0.0,0.0
Boone__AR,0.0,0.0
Carroll__AR,0.0,0.0
Benton__AR,0.0,0.0
Washington__AR,0.0,0.0
Crawford__AR,0.0,0.0
Sebastian__AR,0.0,0.0
Scott__AR,0.0,0.0
Montgomery__AR,0.0,0.0
Garland__AR,0.0,0.0
Saline__AR,0.0,0.0
Pulaski__AR,0.0,0.0
Lonoke__AR,0.0,0.0
Prairie__AR,0.0,0.0
Monroe__AR,0.0,0.0
Lee__AR,0.0,0.0
Phillips__AR,0.0,0.0
Jefferson__AR,0.0,0.0
Grant__AR,0.0,0.0
Hot_Spring__AR,0.0,0.0
Dallas__AR,0.0,0.0
Cleveland__AR,0.0,0.0
Lincoln__AR,0.0,0.0
Arkansas__AR,0.0,0.0
Desha__AR,0.0,0.0
Drew__AR,0.0,0.0
Bradley__AR,0.0,0.0
Calhoun__AR,0.0,0.0
Ouachita__AR,0.0,0.0
Nevada__AR,0.0,0.0
Hempstead__AR,0.0,0.0
Clark__AR,0.0,0.0
Pike__AR,0.0,0.0
Howard__AR,0.0,0.0
Polk__AR,0.0,0.0
Sevier__AR,0.0,0.0
Little_River__AR,0.0,0.0
Miller__AR,0.0,0.0
Lafayette__AR,0.0,0.0
Columbia__AR,0.0,0.0
Union__AR,0.0,0.0
Mohave__AZ,0.0,0.0
La_Paz__AZ,0.0,0.0
Cochise__AZ,0.0,0.0
Santa_Cruz__AZ,0.0,0.0
Pima__AZ,0.0,0.0
Greenlee__AZ,0.0,0.0
Graham__AZ,0.0,0.0
Apache__AZ,0.0,0.0
Navajo__AZ,0.0,0.0
Gila__AZ,0.0,0.0
Pinal__AZ,0.0,0.0
Yuma__AZ,0.0,0.0
Maricopa__AZ,0.0,0.0
Coconino__AZ,0.0,0.0
Yavapai__AZ,0.0,0.0
Del_Norte__CA,0.0,0.0
Siskiyou__CA,0.0,0.0
Imperial__CA,0.0,0.0
Riverside__CA,0.0,0.0
San_Diego__CA,0.0,0.0
Orange__CA,0.0,0.0
Los_Angeles__CA,0.0,0.0
Ventura__CA,0.0,0.0
Santa_Barbara__CA,0.0,0.0
San_Luis_Obispo__CA,0.0,0.0
Kern__CA,0.0,0.0
San_Bernardino__CA,0.0,0.0
Inyo__CA,0.0,0.0
Tulare__CA,0.0,0.0
Kings__CA,0.0,0.0
Madera__CA,0.0,0.0
Fresno__CA,0.0,0.0
Monterey__CA,0.0,0.0
San_Benito__CA,0.0,0.0
Merced__CA,0.0,0.0
Santa_Cruz__CA,0.0,0.0
San_Mateo__CA,0.0,0.0
Alameda__CA,0.0,0.0
Santa_Clara__CA,0.0,0.0
Stanislaus__CA,0.0,0.0
Mariposa__CA,0.0,0.0
Tuolumne__CA,0.0,0.0
Mono__CA,0.0,0.0
Alpine__CA,0.0,0.0
Calaveras__CA,0.0,0.0
Amador__CA,0.0,0.0
San_Joaquin__CA,0.0,0.0
Contra_Costa__CA,0.0,0.0
El_Dorado__CA,0.0,0.0
Sacramento__CA,0.0,0.0
Solano__CA,0.0,0.0
San_Franciso__CA,0.0,0.0
Marin__CA,0.0,0.0
Napa__CA,0.0,0.0
Sonoma__CA,0.0,0.0
Yolo__CA,0.0,0.0
Placer__CA,0.0,0.0
Nevada__CA,0.0,0.0
Sierra__CA,0.0,0.0
Yuba__CA,0.0,0.0
Sutter__CA,0.0,0.0
Colusa__CA,0.0,0.0
Lake__CA,0.0,0.0
Butte__CA,0.0,0.0
Glenn__CA,0.0,0.0
Plumas__CA,0.0,0.0
Tehama__CA,0.0,0.0
Mendocino__CA,0.0,0.0
Humboldt__CA,0.0,0.0
Trinity__CA,0.0,0.0
Shasta__CA,0.0,0.0
Lassen__CA,0.0,0.0
Modoc__CA,0.0,0.0
Montezuma__CO,0.0,0.0
La_Plata__CO,0.0,0.0
Prowers__CO,0.0,0.0
Bent__CO,0.0,0.0
Kiowa__CO,0.0,0.0
Cheyenne__CO,0.0,0.0
Kit_Carson__CO,0.0,0.0
Yuma__CO,0.0,0.0
Washington__CO,0.0,0.0
Phillips__CO,0.0,0.0
Sedgwick__CO,0.0,0.0
Logan__CO,0.0,0.0
Morgan__CO,0.0,0.0
Baca__CO,0.0,0.0
Otero__CO,0.0,0.0
Crowley__CO,0.0,0.0
Lincoln__CO,0.0,0.0
Elbert__CO,0.0,0.0
Arapahoe__CO,0.0,0.0
Weld__CO,0.0,0.0
Adams__CO,0.0,0.0
Denver__CO,0.0,0.0
Douglas__CO,0.0,0.0
El_Paso__CO,0.0,0.0
Teller__CO,0.0,0.0
Pueblo__CO,0.0,0.0
Las_Animas__CO,0.0,0.0
